https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,QTUM/USDT,6.58800000,6.61000000,6.53300000,6.54500000,44110.51100000,290190.65007500,673
1616284800000,2021-03-21 00:00:00,QTUM/USDT,6.65700000,6.81000000,6.38200000,6.59600000,3106767.26600000,20578191.43815100,50394
1616198400000,2021-03-20 00:00:00,QTUM/USDT,7.00800000,7.37300000,6.60000000,6.66500000,3906979.21000000,27361572.02424700,66802
1616112000000,2021-03-19 00:00:00,QTUM/USDT,6.37300000,7.58900000,6.14300000,7.00500000,7870732.37000000,55103490.75979900,131123
1616025600000,2021-03-18 00:00:00,QTUM/USDT,6.21100000,6.70000000,6.07500000,6.37200000,4918806.08400000,31629698.23882600,81542
1615939200000,2021-03-17 00:00:00,QTUM/USDT,6.37300000,6.44400000,5.87500000,6.20800000,3638767.13300000,22232117.29417900,52389
1615852800000,2021-03-16 00:00:00,QTUM/USDT,5.95100000,6.43900000,5.63600000,6.36800000,5207820.84400000,31618175.71615700,75402
1615766400000,2021-03-15 00:00:00,QTUM/USDT,5.82600000,6.20900000,5.46700000,5.95000000,6560846.25200000,39114514.21502900,88137
1615680000000,2021-03-14 00:00:00,QTUM/USDT,6.12300000,6.31300000,5.78500000,5.83200000,2340152.90900000,14066303.84157700,34098
1615593600000,2021-03-13 00:00:00,QTUM/USDT,5.84100000,6.21400000,5.57800000,6.12200000,3476882.46700000,20816773.45745800,50203
1615507200000,2021-03-12 00:00:00,QTUM/USDT,6.14100000,6.17100000,5.68600000,5.83700000,3026885.72900000,17940953.25370100,42582
1615420800000,2021-03-11 00:00:00,QTUM/USDT,6.23800000,6.28000000,5.85400000,6.14200000,3557217.73500000,21605688.37717200,48978
1615334400000,2021-03-10 00:00:00,QTUM/USDT,6.55700000,6.58000000,6.03500000,6.23000000,4698937.17500000,29669161.52140100,65604
1615248000000,2021-03-09 00:00:00,QTUM/USDT,6.31100000,6.62500000,6.18500000,6.55800000,4162255.19100000,26746628.92695500,65901
1615161600000,2021-03-08 00:00:00,QTUM/USDT,6.34600000,6.40000000,6.00000000,6.31400000,2704756.09300000,16778635.72086100,38283
1615075200000,2021-03-07 00:00:00,QTUM/USDT,6.32600000,6.55300000,6.10100000,6.35000000,3696795.29400000,23463471.76538500,51119
1614988800000,2021-03-06 00:00:00,QTUM/USDT,6.58200000,6.66900000,5.91000000,6.31500000,5613035.85700000,35295607.01450800,75932
1614902400000,2021-03-05 00:00:00,QTUM/USDT,5.68100000,6.64200000,5.25200000,6.58800000,9163073.64000000,54600974.26565100,115916
1614816000000,2021-03-04 00:00:00,QTUM/USDT,5.34500000,5.91700000,5.19400000,5.68500000,6709024.08100000,37470016.54216400,82120
1614729600000,2021-03-03 00:00:00,QTUM/USDT,5.19000000,5.52900000,5.12900000,5.34000000,3241039.53000000,17441694.22681900,41195
1614643200000,2021-03-02 00:00:00,QTUM/USDT,5.27000000,5.38600000,4.94400000,5.19300000,3502754.15200000,18162151.88718800,43789
1614556800000,2021-03-01 00:00:00,QTUM/USDT,4.85300000,5.28000000,4.82400000,5.27000000,2950187.12000000,14955298.33289500,35407
1614470400000,2021-02-28 00:00:00,QTUM/USDT,5.26800000,5.36900000,4.51600000,4.85500000,3642523.57200000,17742818.04761800,43059
1614384000000,2021-02-27 00:00:00,QTUM/USDT,5.19400000,5.76300000,5.12300000,5.26700000,3965915.55800000,21543388.10078500,50664
1614297600000,2021-02-26 00:00:00,QTUM/USDT,5.12200000,5.35900000,4.69800000,5.18400000,4611371.16800000,23317269.38369800,53590
1614211200000,2021-02-25 00:00:00,QTUM/USDT,5.30300000,5.80900000,5.06800000,5.12800000,4770529.54600000,26059795.28550900,58562
1614124800000,2021-02-24 00:00:00,QTUM/USDT,5.14400000,5.61300000,4.87200000,5.30300000,5597323.78000000,29695888.10295900,67425
1614038400000,2021-02-23 00:00:00,QTUM/USDT,6.39000000,6.43800000,4.24700000,5.14800000,10797534.91300000,55644226.21795100,134500
1613952000000,2021-02-22 00:00:00,QTUM/USDT,7.11900000,7.14500000,5.36100000,6.38900000,7391385.72100000,47615772.93742800,107171
1613865600000,2021-02-21 00:00:00,QTUM/USDT,6.69800000,7.33000000,6.50600000,7.11800000,5427144.78000000,38190708.37791600,82950
1613779200000,2021-02-20 00:00:00,QTUM/USDT,7.26700000,7.39100000,6.35000000,6.69300000,4973379.51300000,35169824.24549300,84487
1613692800000,2021-02-19 00:00:00,QTUM/USDT,7.14200000,7.51200000,6.73700000,7.26200000,5446090.61000000,39109771.92943000,88508
1613606400000,2021-02-18 00:00:00,QTUM/USDT,6.63800000,7.31000000,6.63300000,7.13300000,5817830.81700000,40857766.98282000,86988
1613520000000,2021-02-17 00:00:00,QTUM/USDT,6.42400000,6.77000000,5.97100000,6.63900000,5148078.27300000,33143531.31871400,68407
1613433600000,2021-02-16 00:00:00,QTUM/USDT,6.41900000,6.80900000,6.10200000,6.42600000,4647284.60600000,30014857.23013900,63771
1613347200000,2021-02-15 00:00:00,QTUM/USDT,6.99300000,7.13000000,5.40000000,6.41200000,7677049.54200000,49126331.37748000,118089
1613260800000,2021-02-14 00:00:00,QTUM/USDT,7.71800000,7.79000000,6.76000000,6.98600000,6908698.39300000,50078685.62057100,105287
